"AgeGroup","Year","n","share_no_trips","avg_distance_km","sd_distance_km","avg_hours_away","sd_hours_away","avg_first_trip_h","sd_first_trip_h","n_trippers","avg_last_trip_h","sd_last_trip_h"
"31-55",2016,2075,0.0645783132530121,37.843937352016,48.9897612914867,8.8750843373494,4.53478461405654,8.34977674738107,2.85267266945706,1941,17.8375665464537,3.09406157603647
"56-65",2016,799,0.106382978723404,34.0889862339911,54.9497651180132,7.54111389236546,4.92778004543987,8.82633053221289,2.88553133445432,714,17.2651960784314,3.3679830373997
"66+",2016,957,0.227795193312435,15.5785580037829,27.5779693359392,3.6098223615465,3.7287691894982,10.9307622913848,2.69461880348836,739,15.6054578258908,3.61221198314264
"10-17",2017,615,0.0894308943089431,14.2219674609117,24.907033009038,8.31352303523035,4.03644645474839,8.34717261904762,2.32176073057626,560,17.4772023809524,2.78974969306292
"18-30",2017,879,0.0955631399317406,30.6467235115409,47.4268408023066,8.40561243837694,4.79641050781948,9.23522012578616,3.21329570930897,795,18.5289727463312,3.40982366378263
"31-55",2017,2334,0.0672664952870608,40.0731061813976,55.3007380542746,9.13127677806341,4.49719791343152,8.11717194916552,2.62188642958417,2177,17.9069744296432,3.13565169502314
"56-65",2017,930,0.113978494623656,33.7204839207272,52.1026188357466,7.51478494623656,4.80281013083392,8.81017394822006,2.91849210655033,824,17.2916666666667,3.20555263663285
"66+",2017,1171,0.224594363791631,18.4032792125063,36.228289548374,4.12593225163678,4.13081823943152,10.636013215859,2.48338707361826,908,15.9570117474302,3.5335829245344
"10-17",2018,1357,0.10759027266028,15.0595799793909,21.5893685721948,8.05438467207074,4.18520686049804,8.18772364437104,2.19585483570043,1211,17.2131571703826,2.94739302500907
"18-30",2018,1199,0.0942452043369475,28.3249624491272,44.7529303515094,8.16879343897693,4.59921988669623,8.98373235113567,2.9753022185551,1086,18.0025015346839,3.31621150011807
"31-55",2018,2040,0.0901960784313725,37.0737990258599,51.9109585240969,8.63862745098039,4.60848037937713,8.26104525862069,2.66790977482819,1856,17.756088362069,3.1359538736131
"56-65",2018,766,0.12532637075718,30.3861618752083,46.2709231688961,7.21725413402959,4.83848242172618,8.81965174129353,2.9482716081819,670,17.0710199004975,3.37541900374714
